"21.08.2020","TRD140721T18",100,88,,,,,,,,,,"21.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.08.2020","TRD140721T18",100,91,,,,,,,,,,"22.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.08.2020","TRD140721T18",100,93,,,,,,,,,,"23.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"24.08.2020","TRD140721T18",100,96,,,,,,,,,,"24.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"25.08.2020","TRD140721T18",100,98,,,,,,,,,,"25.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"26.08.2020","TRD140721T18",101,01,,,,,,,,,,"26.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"27.08.2020","TRD140721T18",101,04,,,,,,,,,,"27.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"28.08.2020","TRD140721T18",101,06,,,,,,,,,,"28.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"29.08.2020","TRD140721T18",101,09,,,,,,,,,,"29.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"30.08.2020","TRD140721T18",101,11,,,,,,,,,,"30.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"31.08.2020","TRD140721T18",101,14,,,,,,,,,,"31.08.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.09.2020","TRD140721T18",101,16,,,,,,,,,,"1.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2.09.2020","TRD140721T18",101,19,,,,,,,,,,"2.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.09.2020","TRD140721T18",101,22,,,,,,,,,,"3.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.09.2020","TRD140721T18",101,24,,,,,,,,,,"4.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.09.2020","TRD140721T18",101,27,,,,,,,,,,"5.09.2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
